"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.321072877E0;1.173043251E0;-5.924873352E-1;1.981360912E-1
2.330545794E0;5.429337025E-1;-3.495550156E-1;9.240275621E-1
2.340018711E0;5.058971643E-1;-6.041717529E-2;1.100559711E0
2.349491627E0;1.146749973E0;-1.090202332E-1;6.612344980E-1
2.358964544E0;1.545284867E0;-5.321502686E-4;-9.812355042E-2
2.368437461E0;1.633107781E0;-3.155040741E-2;-7.616543770E-2
2.377910377E0;1.088656783E0;-2.899341583E-1;1.387763023E-2
2.387383294E0;8.834621906E-1;-2.987899780E-1;6.323336363E-1
2.396856263E0;1.312193751E0;7.858276367E-4;-2.951080799E-1
2.406329179E0;1.277629375E0;6.134300232E-1;-1.740272045E-1
2.415802096E0;1.671462297E0;5.599603653E-1;6.940590143E-1
2.425275013E0;1.465754271E0;-1.198463440E-1;3.563692570E-1
2.434747929E0;1.072141528E0;-1.237955093E-1;-3.186087608E-1
2.444220846E0;1.006206870E0;1.205069542E0;-6.299540997E-1
2.453693763E0;5.526466370E-1;2.794508934E0;-6.559703350E-1
2.463166679E0;4.745028019E-1;3.516315460E0;-5.899748802E-1
2.472639596E0;7.076408863E-1;3.589818001E0;-6.902527809E-2
2.482112565E0;9.832162857E-1;2.892788887E0;8.605291843E-1
2.491585481E0;2.258291245E0;2.211128235E0;5.738935471E-1
2.501058398E0;4.762242794E0;2.097117424E0;-6.074404716E-2
2.510531315E0;6.766562462E0;2.331141472E0;-7.762742043E-1
2.520004231E0;8.045774460E0;2.702589035E0;-1.485771179E0
2.529477148E0;8.131952286E0;3.313892365E0;-1.880124569E0
2.538950065E0;7.410346031E0;3.950974464E0;-1.232210636E0
2.548422981E0;6.515451431E0;4.245362282E0;-2.088050842E-1
2.557895950E0;5.827293873E0;4.257971764E0;5.084059238E-1
2.567368867E0;5.758829117E0;4.521939754E0;9.754871130E-1
2.576841784E0;6.443559647E0;5.946693897E0;-2.355184555E-1
2.586314700E0;8.355734825E0;8.532484055E0;1.491227269E0
2.595787617E0;8.567832947E0;1.136352539E1;3.866228342E0
2.605260534E0;7.603296280E0;1.244387341E1;2.993993521E0
2.614733450E0;7.308102131E0;1.212406445E1;1.348547459E0
2.624206367E0;8.476179123E0;1.252168465E1;1.581368685E0
2.633679284E0;9.773747444E0;1.305402279E1;6.301074028E-1
2.643152200E0;1.068289757E1;1.149362755E1;-4.251493931E0
2.652625169E0;1.188813400E1;8.170121193E0;-8.511724472E0
2.662098086E0;1.272805405E1;4.260921955E0;-9.798388481E0
2.671571002E0;1.163397789E1;4.295530319E-1;-1.006387043E1
2.681043919E0;7.815842152E0;-1.863333702E0;-9.836730003E0
2.690516836E0;1.751227379E-1;-7.043156624E-1;-1.158847523E1
2.699989752E0;-6.390221596E0;2.636778831E0;-7.899555206E0
2.709462669E0;-6.863161564E0;5.300759792E0;7.473540306E-1
2.718935586E0;-7.249284744E0;6.347203732E0;4.720814705E0
2.728408502E0;-8.764616013E0;5.672645569E0;5.266520500E0
2.737881471E0;-9.016068459E0;3.673800468E0;4.414349556E0
2.747354388E0;-7.194933414E0;8.665347099E-1;2.951247454E0
2.756827304E0;-4.704563618E0;-1.309806347E0;1.586725831E0
2.766300221E0;-2.922375679E0;-2.210712910E0;4.163980484E-1
2.775773138E0;-1.737733841E0;-1.902380943E0;-6.091194153E-1
2.785246054E0;-1.278994083E0;-8.431701660E-1;-5.789122581E-1
2.794718971E0;-1.387385368E0;-4.510965347E-1;-4.528505802E-1
2.804191888E0;-1.370971203E0;-1.342459202E0;-3.281242847E-1
2.813664804E0;-7.618036270E-1;-2.951723576E0;-4.844086170E-1
2.823137773E0;9.092350006E-1;-4.770904541E0;-5.297311544E-1
2.832610690E0;2.559657097E0;-6.243515015E0;-3.823450804E-1
2.842083606E0;3.451690435E0;-7.097690582E0;-7.345004082E-1
2.851556523E0;3.185186863E0;-7.127220631E0;-1.019991398E0
2.861029440E0;1.904265881E0;-6.395971775E0;-1.123051286E0
2.870502356E0;2.995491028E-1;-5.496929169E0;-9.828841686E-1
2.879975273E0;-1.387507439E0;-4.746221066E0;-5.852837563E-1
2.889448190E0;-2.930384636E0;-4.320373535E0;2.746999264E-2
2.898921106E0;-4.401049137E0;-4.007249355E0;9.380828142E-1
2.908394075E0;-6.145113945E0;-3.581733227E0;1.364647388E0
2.917866992E0;-7.808095932E0;-3.017101765E0;1.435737371E0
2.927339909E0;-8.756883621E0;-2.587052822E0;1.263069630E0
2.936812825E0;-8.870777130E0;-2.639147282E0;1.026270986E0
2.946285742E0;-8.775554657E0;-3.120566845E0;4.042468071E-1
2.955758659E0;-9.080803871E0;-3.220252991E0;-7.198401690E-1
2.965231575E0;-9.449114799E0;-2.636580944E0;-1.218545914E0
2.974704492E0;-9.328191757E0;-1.583781242E0;-9.136061668E-1
2.984177409E0;-8.255392075E0;-9.253540039E-1;-7.343707085E-1
2.993650325E0;-6.399003029E0;-8.995075226E-1;-1.021931052E0
3.003123294E0;-4.311632633E0;-1.066915512E0;-1.275951028E0
3.012596211E0;-2.070482731E0;-1.103887558E0;-2.432003021E0
3.022069127E0;3.788692951E-1;-1.093441486E0;-4.351569176E0
3.031542044E0;2.236351252E0;-3.828468323E-1;-5.070270061E0
3.041014961E0;2.122503757E0;9.511041641E-1;-4.419682503E0
3.050487877E0;-1.773737788E0;2.239443779E0;-6.628577232E0
3.059960794E0;-3.601286411E0;2.088720322E0;-6.953917503E0
3.069433711E0;-4.353099346E0;1.704423904E0;-2.691060781E0
3.078906627E0;-5.490292549E0;4.184608459E-1;-8.154975176E-1
3.088379544E0;-7.167592049E0;-1.006909847E0;-2.700967789E-1
3.097852513E0;-7.191499710E0;-1.893512726E0;7.713593245E-1
3.107325429E0;-7.056949615E0;-1.861505985E0;1.239186525E-1
3.116798346E0;-6.274256706E0;-1.511970520E0;-1.155953765E0
3.126271263E0;-6.335358620E0;-8.237628937E-1;-2.090432644E0
3.135744179E0;-7.586974144E0;2.283496857E-1;-3.599127293E0
3.145217096E0;-4.982905388E0;4.329297066E0;1.660024166E0
3.154690013E0;5.595834255E-1;1.214215279E1;1.267367268E1
3.164162929E0;-1.298321128E0;1.538500118E1;5.182847023E0
3.173635846E0;-1.720705271E0;7.514604568E0;-3.523107529E0
3.183108815E0;1.782671094E0;-4.196799278E0;-4.194777012E0
3.192581731E0;3.466721773E-1;-9.286890030E0;-3.937105656E0
3.202054648E0;-4.276197433E0;-8.931359291E0;-4.813826561E0
3.211527565E0;-8.327237129E0;-6.446244240E0;-8.418471336E0
3.221000481E0;-9.226931572E0;-3.255362511E0;-5.605306149E0
3.230473398E0;-1.004008293E1;6.398401260E-1;1.798608184E0
3.239946315E0;-1.353106880E1;4.842400551E0;5.777557373E0
3.249419231E0;-1.816760254E1;6.251771927E0;4.658481598E0
3.258892148E0;-1.768236160E1;2.800899506E0;2.573697329E0
3.268365065E0;-1.238032055E1;-4.093141556E-1;4.488219023E-1
3.277838034E0;-7.165486813E0;-1.036150932E0;-9.120509624E-1
3.287310950E0;-2.947189569E0;-1.345615387E-1;-1.733490467E0
3.296783867E0;5.271089673E-1;8.632478714E-1;-2.650198698E0
3.306256784E0;2.364937782E0;1.461461067E0;-4.517754078E0
3.315729700E0;1.823344111E0;1.510050774E0;-4.708182812E0
3.325202617E0;3.694195747E-1;7.268867493E-1;-3.313934803E0
3.334675534E0;-9.025467038E-1;-2.039508820E-1;-1.377532959E0
3.344148450E0;-2.446486235E0;-3.478736877E-1;3.532032967E-1
3.353621367E0;-3.719264984E0;1.343898773E-1;1.147661209E0
3.363094336E0;-3.750534534E0;7.512607574E-1;1.385950089E0
3.372567252E0;-3.426132679E0;1.010340691E0;1.123473883E0
3.382040169E0;-2.566260099E0;7.335557938E-1;5.157709122E-3
3.391513086E0;-8.223329782E-1;3.402881622E-1;-1.165111780E0
3.400986002E0;1.268372416E0;-1.384067535E-2;-2.211037636E0
3.410458919E0;2.781472445E0;-3.574056625E-1;-2.616123199E0
3.419931836E0;3.317038536E0;-4.349136353E-1;-2.367580414E0
3.429404752E0;3.391295433E0;-5.327816010E-1;-1.804247379E0
3.438877669E0;3.071626902E0;-6.169090271E-1;-7.551469803E-1
3.448350586E0;2.147266150E0;-5.060100555E-1;-1.885025501E-1
3.457823502E0;1.518275499E0;-5.438156128E-1;3.106472492E-1
3.467296471E0;1.026340485E0;-3.286848068E-1;1.053432345E0
3.476769388E0;4.632010460E-1;-5.042457581E-2;1.116957784E0
3.486242304E0;7.284622192E-1;-5.957984924E-2;7.364890575E-1
3.495715221E0;1.029906154E0;1.311521530E-1;-5.944275856E-2
3.505188138E0;7.159175873E-1;4.296836853E-1;-4.404788017E-1
3.514661054E0;3.187420368E-1;1.225490570E-1;4.685499668E-1
3.524133971E0;-1.760911942E-1;-4.660892487E-1;1.163945198E0
3.533606888E0;-5.515713692E-1;-3.881254196E-1;1.100567579E0
3.543079804E0;-4.064362049E-1;4.025678635E-1;1.153887510E0
3.552552721E0;-1.655514240E-1;1.455143929E0;1.817675233E0
3.562025690E0;2.782402039E-1;1.928325653E0;1.554318666E0
3.571498606E0;1.332515359E0;1.639012337E0;5.501875877E-1
3.580971523E0;1.892343521E0;1.883845329E0;2.977833748E-1
3.590444440E0;2.603297710E0;2.666440964E0;-4.444122314E-1
3.599917356E0;4.491082191E0;3.127789497E0;-9.903945923E-1
3.609390273E0;6.031049728E0;3.183982849E0;-1.156968594E0
3.618863190E0;7.534880161E0;2.457291603E0;-1.541637182E0
3.628336106E0;8.305341721E0;1.963007927E0;-1.846503019E0
3.637809023E0;8.066070557E0;1.930418968E0;-1.883661509E0
3.647281940E0;6.875025749E0;2.334306717E0;-1.599612951E0
3.656754909E0;5.476033688E0;2.932734489E0;-1.043774366E0
3.666227825E0;4.741573334E0;3.654353142E0;-3.921508789E-2
3.675700742E0;4.422212124E0;4.236428261E0;7.094340324E-1
3.685173659E0;4.565459728E0;4.808499813E0;1.331758022E0
3.694646575E0;5.107981682E0;6.096832275E0;4.051446915E-2
3.704119492E0;7.322793961E0;8.448035240E0;2.320006371E0
3.713592409E0;8.530046463E0;1.168111038E1;7.605165005E0
3.723065325E0;7.745311737E0;1.351885414E1;7.652678490E0
